Sad,Fantasy,The Black Prism by Brent Weeks
Relaxed,Fiction,The Great Gatsby by F. Scott Fitzgerald
Relaxed,Adventure,The Hobbit by J.R.R. Tolkien
Anxious,Adventure,The Martian by Andy Weir
Relaxed,Mystery,The Woman in White by Wilkie Collins
Excited,Mystery,The Secret History by Donna Tartt
Happy,Romance,Me Before You by Jojo Moyes
Angry,Action,The Dark Knight Returns by Frank Miller
Angry,Non-Fiction,Quiet by Susan Cain
Curious,Non-Fiction,Sapiens by Yuval Noah Harari
Excited,Fantasy,The Black Prism by Brent Weeks
Bored,Action,The Hunger Games by Suzanne Collins
Bored,Fiction,Of Mice and Men by John Steinbeck
Curious,Adventure,The Martian by Andy Weir
Anxious,Fiction,The Great Gatsby by F. Scott Fitzgerald
Hopeful,Romance,Pride and Prejudice by Jane Austen
Angry,Non-Fiction,Outliers by Malcolm Gladwell
Relaxed,Biography,Steve Jobs by Walter Isaacson
Hopeful,Romance,It Ends with Us by Colleen Hoover
Sad,Non-Fiction,Outliers by Malcolm Gladwell
Happy,Fantasy,The Name of the Wind by Patrick Rothfuss
Excited,Romance,It Ends with Us by Colleen Hoover
Angry,Action,The Bourne Identity by Robert Ludlum
Hopeful,Romance,It Ends with Us by Colleen Hoover
Happy,Romance,Pride and Prejudice by Jane Austen
Anxious,Action,The Dark Knight Returns by Frank Miller
Angry,Action,John Wick by Chad Stahelski
Bored,Mystery,And Then There Were None by Agatha Christie
Angry,Romance,The Rosie Project by Graeme Simsion
Curious,Romance,It Ends with Us by Colleen Hoover
Sad,Fantasy,A Game of Thrones by George R.R. Martin
Angry,Biography,The Diary of a Young Girl by Anne Frank
Curious,Mystery,The Big Sleep by Raymond Chandler
Relaxed,Biography,The Glass Castle by Jeanette Walls
Relaxed,Romance,Pride and Prejudice by Jane Austen
Sad,Fiction,The Catcher in the Rye by J.D. Salinger
Anxious,Romance,It Ends with Us by Colleen Hoover
Bored,Action,The Hunger Games by Suzanne Collins
Curious,Adventure,Into the Wild by Jon Krakauer
Happy,Mystery,And Then There Were None by Agatha Christie
Hopeful,Fiction,The Catcher in the Rye by J.D. Salinger
Happy,Fantasy,A Game of Thrones by George R.R. Martin
Happy,Thriller,Before I Go to Sleep by S.J. Watson
Hopeful,Mystery,The Woman in White by Wilkie Collins
Bored,Fiction,1984 by George Orwell
Happy,Romance,The Rosie Project by Graeme Simsion
Relaxed,Fiction,The Picture of Dorian Gray by Oscar Wilde
Relaxed,Adventure,Into the Wild by Jon Krakauer
Hopeful,Adventure,Into the Wild by Jon Krakauer
Sad,Fiction,1984 by George Orwell
Sad,Non-Fiction,The Power of Habit by Charles Duhigg
Excited,Fantasy,The Way of Kings by Brandon Sanderson
Anxious,Biography,Steve Jobs by Walter Isaacson
Anxious,Biography,The Diary of a Young Girl by Anne Frank
Angry,Fiction,The Great Gatsby by F. Scott Fitzgerald
Excited,Romance,Pride and Prejudice by Jane Austen
Anxious,Thriller,The Silent Patient by Alex Michaelides
Happy,Romance,Me Before You by Jojo Moyes
Excited,Action,Red Rising by Pierce Brown
Bored,Adventure,The Martian by Andy Weir
Hopeful,Fiction,1984 by George Orwell
Sad,Adventure,The Hobbit by J.R.R. Tolkien
Relaxed,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Relaxed,Fantasy,The Name of the Wind by Patrick Rothfuss
Angry,Adventure,The Hobbit by J.R.R. Tolkien
Hopeful,Romance,Me Before You by Jojo Moyes
Anxious,Mystery,And Then There Were None by Agatha Christie
Happy,Romance,The Rosie Project by Graeme Simsion
Curious,Action,The Dark Knight Returns by Frank Miller
Bored,Action,Red Rising by Pierce Brown
Excited,Action,Red Rising by Pierce Brown
Hopeful,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Sad,Biography,The Zookeeper's Wife by Diane Ackerman
Excited,Adventure,Moby Dick by Herman Melville
Hopeful,Action,The Hunger Games by Suzanne Collins
Relaxed,Adventure,Into the Wild by Jon Krakauer
Bored,Fiction,The Catcher in the Rye by J.D. Salinger
Excited,Adventure,The Martian by Andy Weir
Excited,Biography,Long Walk to Freedom by Nelson Mandela
Curious,Biography,The Glass Castle by Jeanette Walls
Curious,Action,The Dark Knight Returns by Frank Miller
Bored,Non-Fiction,The Power of Habit by Charles Duhigg
Angry,Adventure,Moby Dick by Herman Melville
Hopeful,Action,The Hunger Games by Suzanne Collins
Sad,Romance,It Ends with Us by Colleen Hoover
Relaxed,Fiction,The Picture of Dorian Gray by Oscar Wilde
Anxious,Fiction,The Great Gatsby by F. Scott Fitzgerald
Sad,Non-Fiction,Becoming by Michelle Obama
Happy,Romance,Pride and Prejudice by Jane Austen
Angry,Biography,The Diary of a Young Girl by Anne Frank
Bored,Thriller,The Silent Patient by Alex Michaelides
Angry,Fantasy,The Name of the Wind by Patrick Rothfuss
Happy,Non-Fiction,The Power of Habit by Charles Duhigg
Angry,Non-Fiction,The Power of Habit by Charles Duhigg
Bored,Action,Red Rising by Pierce Brown
Hopeful,Romance,It Ends with Us by Colleen Hoover
Angry,Romance,The Time Traveler's Wife by Audrey Niffenegger
Relaxed,Mystery,The Woman in White by Wilkie Collins
Sad,Biography,Long Walk to Freedom by Nelson Mandela
Bored,Fantasy,The Name of the Wind by Patrick Rothfuss
Bored,Biography,The Glass Castle by Jeanette Walls
Curious,Non-Fiction,Outliers by Malcolm Gladwell
Excited,Non-Fiction,Becoming by Michelle Obama
Angry,Thriller,Sharp Objects by Gillian Flynn
Relaxed,Fantasy,The Black Prism by Brent Weeks
Relaxed,Biography,The Zookeeper's Wife by Diane Ackerman
Curious,Action,Red Rising by Pierce Brown
Anxious,Adventure,The Hobbit by J.R.R. Tolkien
Excited,Mystery,The Secret History by Donna Tartt
Angry,Adventure,The Martian by Andy Weir
Happy,Biography,Steve Jobs by Walter Isaacson
Sad,Thriller,Sharp Objects by Gillian Flynn
Hopeful,Mystery,The Secret History by Donna Tartt
Hopeful,Thriller,Before I Go to Sleep by S.J. Watson
Sad,Adventure,The Call of the Wild by Jack London
Angry,Mystery,And Then There Were None by Agatha Christie
Anxious,Biography,The Diary of a Young Girl by Anne Frank
Angry,Non-Fiction,Outliers by Malcolm Gladwell
Anxious,Action,The Hunger Games by Suzanne Collins
Angry,Action,Red Rising by Pierce Brown
Hopeful,Action,Red Rising by Pierce Brown
Hopeful,Action,The Bourne Identity by Robert Ludlum
Curious,Biography,Long Walk to Freedom by Nelson Mandela
Anxious,Romance,The Time Traveler's Wife by Audrey Niffenegger
Excited,Non-Fiction,The Power of Habit by Charles Duhigg
Happy,Mystery,The Woman in White by Wilkie Collins
Curious,Biography,The Diary of a Young Girl by Anne Frank
Happy,Adventure,Into the Wild by Jon Krakauer
Sad,Thriller,Sharp Objects by Gillian Flynn
Happy,Thriller,Before I Go to Sleep by S.J. Watson
Curious,Adventure,Into the Wild by Jon Krakauer
Bored,Adventure,The Hobbit by J.R.R. Tolkien
Hopeful,Action,The Bourne Identity by Robert Ludlum
Happy,Non-Fiction,The Power of Habit by Charles Duhigg
Bored,Action,John Wick by Chad Stahelski
Angry,Action,Red Rising by Pierce Brown
Angry,Non-Fiction,Sapiens by Yuval Noah Harari
Sad,Fiction,The Catcher in the Rye by J.D. Salinger
Relaxed,Adventure,Into the Wild by Jon Krakauer
Bored,Mystery,The Woman in White by Wilkie Collins
Curious,Fiction,The Picture of Dorian Gray by Oscar Wilde
Angry,Action,The Hunger Games by Suzanne Collins
Bored,Non-Fiction,Becoming by Michelle Obama
Anxious,Fiction,The Catcher in the Rye by J.D. Salinger
Angry,Fantasy,The Way of Kings by Brandon Sanderson
Bored,Romance,The Rosie Project by Graeme Simsion
Curious,Biography,Long Walk to Freedom by Nelson Mandela
Curious,Fiction,Of Mice and Men by John Steinbeck
Curious,Action,Red Rising by Pierce Brown
Happy,Fantasy,The Black Prism by Brent Weeks
Anxious,Biography,The Zookeeper's Wife by Diane Ackerman
Hopeful,Action,The Hunger Games by Suzanne Collins
Curious,Fiction,The Picture of Dorian Gray by Oscar Wilde
Happy,Thriller,Sharp Objects by Gillian Flynn
Bored,Adventure,Moby Dick by Herman Melville
Curious,Action,John Wick by Chad Stahelski
Curious,Thriller,Gone Girl by Gillian Flynn
Happy,Non-Fiction,The Power of Habit by Charles Duhigg
Anxious,Mystery,The Big Sleep by Raymond Chandler
Anxious,Mystery,And Then There Were None by Agatha Christie
Excited,Fantasy,The Way of Kings by Brandon Sanderson
Relaxed,Action,John Wick by Chad Stahelski
Relaxed,Fiction,Of Mice and Men by John Steinbeck
Excited,Biography,The Zookeeper's Wife by Diane Ackerman
Excited,Mystery,And Then There Were None by Agatha Christie
Angry,Fiction,The Picture of Dorian Gray by Oscar Wilde
Sad,Romance,The Rosie Project by Graeme Simsion
Excited,Adventure,Moby Dick by Herman Melville
Angry,Fiction,The Catcher in the Rye by J.D. Salinger
Angry,Action,Red Rising by Pierce Brown
Bored,Thriller,Sharp Objects by Gillian Flynn
Relaxed,Biography,Steve Jobs by Walter Isaacson
Bored,Romance,The Time Traveler's Wife by Audrey Niffenegger
Hopeful,Romance,The Rosie Project by Graeme Simsion
Anxious,Thriller,Sharp Objects by Gillian Flynn
Hopeful,Fiction,The Catcher in the Rye by J.D. Salinger
Curious,Non-Fiction,Sapiens by Yuval Noah Harari
Anxious,Non-Fiction,Sapiens by Yuval Noah Harari
Hopeful,Mystery,And Then There Were None by Agatha Christie
Curious,Thriller,Before I Go to Sleep by S.J. Watson
Relaxed,Mystery,And Then There Were None by Agatha Christie
Bored,Fantasy,The Name of the Wind by Patrick Rothfuss
Bored,Non-Fiction,Becoming by Michelle Obama
Curious,Action,Red Rising by Pierce Brown
Sad,Mystery,The Big Sleep by Raymond Chandler
Angry,Romance,Pride and Prejudice by Jane Austen
Bored,Romance,It Ends with Us by Colleen Hoover
Relaxed,Mystery,The Big Sleep by Raymond Chandler
Anxious,Biography,Steve Jobs by Walter Isaacson
Curious,Romance,Me Before You by Jojo Moyes
Happy,Thriller,Before I Go to Sleep by S.J. Watson
Curious,Romance,The Time Traveler's Wife by Audrey Niffenegger
Excited,Biography,The Diary of a Young Girl by Anne Frank
Hopeful,Fiction,The Great Gatsby by F. Scott Fitzgerald
Sad,Thriller,Gone Girl by Gillian Flynn
Relaxed,Mystery,The Big Sleep by Raymond Chandler
Excited,Thriller,Gone Girl by Gillian Flynn
Anxious,Mystery,And Then There Were None by Agatha Christie
Bored,Non-Fiction,Becoming by Michelle Obama
Excited,Biography,The Zookeeper's Wife by Diane Ackerman
Relaxed,Fiction,The Great Gatsby by F. Scott Fitzgerald
Excited,Non-Fiction,Sapiens by Yuval Noah Harari
Angry,Mystery,The Secret History by Donna Tartt
Angry,Biography,Steve Jobs by Walter Isaacson
Happy,Non-Fiction,Sapiens by Yuval Noah Harari
Relaxed,Thriller,Sharp Objects by Gillian Flynn
Happy,Fiction,1984 by George Orwell
Excited,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Curious,Biography,Steve Jobs by Walter Isaacson
Sad,Biography,The Glass Castle by Jeanette Walls
Angry,Biography,Long Walk to Freedom by Nelson Mandela
Excited,Fiction,The Picture of Dorian Gray by Oscar Wilde
Happy,Adventure,Moby Dick by Herman Melville
Bored,Mystery,The Secret History by Donna Tartt
Angry,Romance,Pride and Prejudice by Jane Austen
Relaxed,Fantasy,The Name of the Wind by Patrick Rothfuss
Excited,Non-Fiction,Outliers by Malcolm Gladwell
Sad,Adventure,The Call of the Wild by Jack London
Anxious,Thriller,Sharp Objects by Gillian Flynn
Bored,Thriller,Sharp Objects by Gillian Flynn
Angry,Adventure,Into the Wild by Jon Krakauer
Angry,Fantasy,The Name of the Wind by Patrick Rothfuss
Angry,Fiction,The Picture of Dorian Gray by Oscar Wilde
Relaxed,Action,John Wick by Chad Stahelski
Angry,Biography,Long Walk to Freedom by Nelson Mandela
Sad,Adventure,Moby Dick by Herman Melville
Bored,Action,The Bourne Identity by Robert Ludlum
Excited,Action,Red Rising by Pierce Brown
Bored,Romance,The Rosie Project by Graeme Simsion
Curious,Adventure,The Call of the Wild by Jack London
Anxious,Romance,The Rosie Project by Graeme Simsion
Angry,Biography,Long Walk to Freedom by Nelson Mandela
Relaxed,Romance,The Rosie Project by Graeme Simsion
Sad,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Excited,Fantasy,The Way of Kings by Brandon Sanderson
Happy,Mystery,The Secret History by Donna Tartt
Happy,Fantasy,A Game of Thrones by George R.R. Martin
Sad,Adventure,The Hobbit by J.R.R. Tolkien
Relaxed,Romance,It Ends with Us by Colleen Hoover
Hopeful,Thriller,Gone Girl by Gillian Flynn
Hopeful,Fiction,The Picture of Dorian Gray by Oscar Wilde
Angry,Fantasy,The Name of the Wind by Patrick Rothfuss
Angry,Action,John Wick by Chad Stahelski
Hopeful,Romance,It Ends with Us by Colleen Hoover
Sad,Action,The Bourne Identity by Robert Ludlum
Happy,Biography,Long Walk to Freedom by Nelson Mandela
Hopeful,Fantasy,A Game of Thrones by George R.R. Martin
Relaxed,Fantasy,The Black Prism by Brent Weeks
Sad,Fiction,1984 by George Orwell
Bored,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Relaxed,Action,Red Rising by Pierce Brown
Sad,Non-Fiction,Quiet by Susan Cain
Hopeful,Fiction,The Picture of Dorian Gray by Oscar Wilde
Excited,Fiction,The Great Gatsby by F. Scott Fitzgerald
Hopeful,Romance,The Rosie Project by Graeme Simsion
Relaxed,Romance,Pride and Prejudice by Jane Austen
Curious,Fiction,The Picture of Dorian Gray by Oscar Wilde
Angry,Adventure,Into the Wild by Jon Krakauer
Anxious,Non-Fiction,The Power of Habit by Charles Duhigg
Hopeful,Non-Fiction,Quiet by Susan Cain
Hopeful,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Happy,Thriller,Before I Go to Sleep by S.J. Watson
Anxious,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Relaxed,Non-Fiction,Quiet by Susan Cain
Bored,Fiction,1984 by George Orwell
Relaxed,Fiction,Of Mice and Men by John Steinbeck
Excited,Fantasy,A Game of Thrones by George R.R. Martin
Angry,Thriller,Sharp Objects by Gillian Flynn
Relaxed,Biography,The Zookeeper's Wife by Diane Ackerman
Relaxed,Adventure,The Hobbit by J.R.R. Tolkien
Excited,Fantasy,A Game of Thrones by George R.R. Martin
Angry,Mystery,The Big Sleep by Raymond Chandler
Angry,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Relaxed,Fiction,The Great Gatsby by F. Scott Fitzgerald
Angry,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Excited,Mystery,The Woman in White by Wilkie Collins
Relaxed,Mystery,The Woman in White by Wilkie Collins
Happy,Mystery,The Cuckoo's Calling by Robert Galbraith
Excited,Non-Fiction,Sapiens by Yuval Noah Harari
Angry,Mystery,And Then There Were None by Agatha Christie
Hopeful,Action,The Dark Knight Returns by Frank Miller
Relaxed,Thriller,Before I Go to Sleep by S.J. Watson
Sad,Fiction,The Catcher in the Rye by J.D. Salinger
Hopeful,Fantasy,The Black Prism by Brent Weeks
Sad,Thriller,The Silent Patient by Alex Michaelides
Anxious,Thriller,Before I Go to Sleep by S.J. Watson
Angry,Thriller,Sharp Objects by Gillian Flynn
Anxious,Romance,Me Before You by Jojo Moyes
Bored,Mystery,The Woman in White by Wilkie Collins
Excited,Biography,Steve Jobs by Walter Isaacson
Bored,Action,The Bourne Identity by Robert Ludlum
Anxious,Fiction,The Picture of Dorian Gray by Oscar Wilde
Curious,Non-Fiction,Becoming by Michelle Obama
Angry,Action,The Bourne Identity by Robert Ludlum
Relaxed,Fantasy,A Game of Thrones by George R.R. Martin
Excited,Adventure,Into the Wild by Jon Krakauer
Bored,Adventure,Moby Dick by Herman Melville
Bored,Romance,The Rosie Project by Graeme Simsion
Happy,Romance,It Ends with Us by Colleen Hoover
Anxious,Thriller,The Silent Patient by Alex Michaelides
Curious,Mystery,The Woman in White by Wilkie Collins
Sad,Romance,Pride and Prejudice by Jane Austen
Curious,Mystery,The Secret History by Donna Tartt
Angry,Mystery,The Cuckoo's Calling by Robert Galbraith
Relaxed,Mystery,The Secret History by Donna Tartt
Relaxed,Romance,It Ends with Us by Colleen Hoover
Happy,Adventure,The Call of the Wild by Jack London
Curious,Mystery,The Big Sleep by Raymond Chandler
Hopeful,Fiction,The Catcher in the Rye by J.D. Salinger
Hopeful,Fantasy,The Way of Kings by Brandon Sanderson
Relaxed,Fiction,The Catcher in the Rye by J.D. Salinger
Sad,Adventure,The Call of the Wild by Jack London
Anxious,Adventure,The Martian by Andy Weir
Relaxed,Fantasy,The Name of the Wind by Patrick Rothfuss
Angry,Adventure,Moby Dick by Herman Melville
Excited,Thriller,Gone Girl by Gillian Flynn
Anxious,Action,Red Rising by Pierce Brown
Bored,Thriller,Gone Girl by Gillian Flynn
Sad,Mystery,The Big Sleep by Raymond Chandler
Bored,Romance,Me Before You by Jojo Moyes
Relaxed,Fiction,The Catcher in the Rye by J.D. Salinger
Angry,Mystery,The Woman in White by Wilkie Collins
Sad,Action,The Dark Knight Returns by Frank Miller
Angry,Adventure,Into the Wild by Jon Krakauer
Curious,Thriller,Before I Go to Sleep by S.J. Watson
Hopeful,Adventure,Moby Dick by Herman Melville
Happy,Mystery,The Secret History by Donna Tartt
Hopeful,Adventure,The Hobbit by J.R.R. Tolkien
Excited,Action,The Hunger Games by Suzanne Collins
Hopeful,Action,John Wick by Chad Stahelski
Anxious,Mystery,The Big Sleep by Raymond Chandler
Bored,Biography,The Diary of a Young Girl by Anne Frank
Sad,Biography,The Diary of a Young Girl by Anne Frank
Hopeful,Adventure,The Hobbit by J.R.R. Tolkien
Hopeful,Adventure,The Martian by Andy Weir
Relaxed,Adventure,The Hobbit by J.R.R. Tolkien
Excited,Mystery,The Big Sleep by Raymond Chandler
Relaxed,Fantasy,The Way of Kings by Brandon Sanderson
Hopeful,Thriller,Before I Go to Sleep by S.J. Watson
Excited,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Excited,Romance,Me Before You by Jojo Moyes
Hopeful,Biography,Steve Jobs by Walter Isaacson
Happy,Fiction,Of Mice and Men by John Steinbeck
Sad,Adventure,The Call of the Wild by Jack London
Hopeful,Adventure,The Martian by Andy Weir
Anxious,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Anxious,Thriller,The Silent Patient by Alex Michaelides
Happy,Fiction,1984 by George Orwell
Sad,Adventure,The Martian by Andy Weir
Angry,Adventure,Moby Dick by Herman Melville
Excited,Thriller,The Silent Patient by Alex Michaelides
